"M2","DOLARES","AMBIENTES","DORMITORIO","ANTIGUEDAD","A_ESTRENAR","FRENTE_Y_CONTRA","BAUL","COCHERA","BANIOS","LAVADERO","DEPENDENCIA","TERRAZA","BARRIOS"
89,175000,2,2,10,"","CONTRAFRENTE","","",1,"SI","","BALCON","VILLA DEL PARQUE"
110,249000,3,3,30,"","FRENTE","SI","",2,"SI","SI","BALCON","VILLA DEL PARQUE"
215,470000,3,3,25,"","CONTRAFRENTE","SI","SI",2,"SI","SI","TERRAZA","VILLA DEL PARQUE"
216,290000,3,3,65,"","FRENTE","SI","SI",1,"","","TERRAZA","VILLA DEL PARQUE"
160,195000,3,2,7,"","FRENTE","SI","SI",2,"SI","SI","TERRAZA","VILLA DEL PARQUE"
37,80000,2,1,40,"","CONTRAFRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
40,94000,1,1,30,"","CONTRAFRENTE","","",1,"","","BALCON","VILLA DEL PARQUE"
47,85500,2,2,50,"","LATERAL","","",1,"","","","VILLA DEL PARQUE"
150,220000,4,3,15,"","FRENTE","","",0,"","","PATIO","VILLA DEL PARQUE"
55,98000,3,2,40,"","FRENTE","SI","",0,"SI","SI","BALCON","VILLA DEL PARQUE"
27,45000,1,1,40,"","FRENTE","","",1,"","","TERRAZA","SAN NICOLAS"
78,135000,4,3,55,"","CONTRAFRENTE","","",2,"SI","","TERRAZA","SAN NICOLAS"
50,150000,2,1,25,"","FRENTE","","",1,"","","","SAN NICOLAS"
265,260000,5,5,74,"","FRENTE","","",2,"","","","SAN NICOLAS"
39,75000,2,1,40,"","LATERAL","","",0,"","","","SAN NICOLAS"
65,76000,3,2,50,"","","","",0,"","","","SAN NICOLAS"
55,115000,3,2,40,"","FRENTE","","",1,"","","BALCON","SAN NICOLAS"
74,122000,2,1,30,"","CONTRAFRENTE","","SI",2,"","","","SAN NICOLAS"
90,157000,4,3,15,"","FRENTE","","",2,"","","BALCON","SAN NICOLAS"
178,360000,3,3,45,"","FRENTE","SI","",2,"SI","","BALCON","SAN NICOLAS"
46,89000,2,1,25,"","FRENTE","","",0,"","","","SAN NICOLAS"
70,140000,3,2,3,"","CONTRAFRENTE","","",2,"","","BALCON","SAN NICOLAS"
75,150000,2,1,1,"","CONTRAFRENTE","","",0,"","","","SAN NICOLAS"
90,275000,4,3,9,"","FRENTE","","",2,"","","TERRAZA","SAN NICOLAS"
112,260000,2,2,3,"","FRENTE","SI","",2,"SI","","BALCON","SAN NICOLAS"
130,275000,3,3,9,"","FRENTE","","",2,"","","TERRAZA","SAN NICOLAS"
56,85000,4,3,60,"","CONTRAFRENTE","","",2,"","","","SAN NICOLAS"
68,100000,4,3,60,"","CONTRAFRENTE","","",2,"","","","SAN NICOLAS"
27,65000,1,0,70,"","CONTRAFRENTE","","",0,"","","","SAN NICOLAS"
82,235000,3,3,55,"","FRENTE","","",1,"","SI","","SAN NICOLAS"
85,216000,3,2,50,"","FRENTE","SI","",1,"SI","SI","","SAN NICOLAS"
55,84000,3,2,35,"","CONTRAFRENTE","","",0,"","","","VILLA DEL PARQUE"
84,170000,3,3,35,"","CONTRAFRENTE","","",0,"SI","","BALCON","VILLA DEL PARQUE"
41,93000,3,2,2,"","","","",0,"SI","","TERRAZA","VILLA DEL PARQUE"
69,138000,3,2,5,"","FRENTE","","",0,"","","PATIO","VILLA DEL PARQUE"
95,195000,4,3,40,"","CONTRAFRENTE","SI","SI",2,"SI","","TERRAZA","VILLA DEL PARQUE"
112,225000,3,3,35,"","CONTRAFRENTE","SI","SI",1,"SI","","TERRAZA","VILLA DEL PARQUE"
213,370000,4,4,29,"","FRENTE","SI","SI",2,"SI","","BALCON","VILLA DEL PARQUE"
51,118000,3,2,35,"","CONTRAFRENTE","","",0,"","","BALCON","VILLA DEL PARQUE"
110,210000,4,3,35,"","FRENTE","SI","SI",2,"SI","SI","TERRAZA","VILLA DEL PARQUE"
115,220000,4,3,45,"","FRENTE","SI","SI",2,"SI","SI","TERRAZA","VILLA DEL PARQUE"
54,98000,2,1,35,"","FRENTE","","",2,"","","","SAN NICOLAS"
36,72000,1,1,50,"","CONTRAFRENTE","","",1,"","","","SAN NICOLAS"
39,92000,2,1,52,"","","","",0,"","","","SAN NICOLAS"
55,125000,2,1,50,"","CONTRAFRENTE","","",2,"","SI","","SAN NICOLAS"
80,120000,3,2,40,"","FRENTE","","",1,"SI","","BALCON","SAN NICOLAS"
70,220000,4,3,1,"","","SI","",2,"","","BALCON","VILLA DEL PARQUE"
75,220000,4,3,2,"","FRENTE","","SI",2,"","","TERRAZA","VILLA DEL PARQUE"
38,90000,3,2,10,"","FRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
110,310000,2,2,3,"","FRENTE","","SI",3,"","","TERRAZA","VILLA DEL PARQUE"
178,319000,4,3,2,"","CONTRAFRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
180,295000,4,3,3,"","CONTRAFRENTE","","SI",3,"SI","","TERRAZA","VILLA DEL PARQUE"
136,162000,4,3,50,"","CONTRAFRENTE","","",2,"SI","","TERRAZA","SAN NICOLAS"
180,290000,5,3,130,"","FRENTE","","",3,"","","TERRAZA","SAN NICOLAS"
48,95000,2,1,10,"","CONTRAFRENTE","","",0,"","","","SAN NICOLAS"
65,123000,3,2,70,"","FRENTE","","",2,"SI","SI","TERRAZA","SAN NICOLAS"
77,155000,3,2,40,"","FRENTE","SI","",1,"","","TERRAZA","VILLA DEL PARQUE"
90,215000,3,3,28,"","FRENTE","","",0,"","","BALCON","VILLA DEL PARQUE"
120,250000,4,3,30,"","FRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
108,185000,3,3,35,"","CONTRAFRENTE","","SI",2,"SI","","BALCON","VILLA DEL PARQUE"
103,189000,4,3,38,"","","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
57,118000,3,2,40,"","","","SI",0,"SI","SI","","VILLA DEL PARQUE"
63,138000,3,2,40,"","CONTRAFRENTE","","SI",0,"","","","VILLA DEL PARQUE"
220,330000,5,5,30,"","FRENTE","SI","SI",3,"SI","","BALCON","VILLA DEL PARQUE"
66,149500,3,2,30,"","CONTRAFRENTE","SI","SI",0,"SI","SI","BALCON","VILLA DEL PARQUE"
93,174000,4,3,50,"","FRENTE","","",0,"SI","","BALCON","VILLA DEL PARQUE"
100,245000,4,3,40,"","FRENTE","SI","",2,"SI","SI","","VILLA DEL PARQUE"
115,225000,3,2,35,"","","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
220,320000,4,4,60,"","FRENTE","","",0,"","","BALCON","VILLA DEL PARQUE"
133,250000,3,3,40,"","FRENTE","SI","SI",1,"SI","SI","BALCON","VILLA DEL PARQUE"
180,325000,4,3,25,"","FRENTE","SI","SI",2,"","SI","TERRAZA","VILLA DEL PARQUE"
246,380000,3,3,32,"","FRENTE","","SI",2,"","SI","BALCON","VILLA DEL PARQUE"
44,77550,2,1,44,"","","","",0,"","","","VILLA DEL PARQUE"
139,192500,4,3,20,"","CONTRAFRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
54,122000,2,1,2,"","","","",0,"","","BALCON","VILLA DEL PARQUE"
89,188000,4,3,40,"","CONTRAFRENTE","","",0,"","","BALCON","VILLA DEL PARQUE"
110,210000,5,3,40,"","FRENTE","","SI",2,"SI","","BALCON","VILLA DEL PARQUE"
164,280000,6,4,31,"","","","SI",3,"SI","SI","BALCON","VILLA DEL PARQUE"
70,150000,3,2,4,"","FRENTE","","",2,"SI","","TERRAZA","VILLA DEL PARQUE"
103,192000,4,3,20,"","FRENTE","SI","SI",3,"SI","SI","TERRAZA","VILLA DEL PARQUE"
94,238000,4,3,1,"","FRENTE","","SI",0,"SI","","BALCON","VILLA DEL PARQUE"
95,280000,3,3,2,"","FRENTE","SI","SI",2,"SI","","BALCON","VILLA DEL PARQUE"
55,170000,2,1,5,"","CONTRAFRENTE","","SI",0,"SI","","TERRAZA","VILLA DEL PARQUE"
118,280000,4,3,6,"","FRENTE","","SI",2,"","","BALCON","VILLA DEL PARQUE"
80,147500,3,2,5,"","","","SI",0,"","","TERRAZA","VILLA DEL PARQUE"
18,60000,1,1,30,"","CONTRAFRENTE","","",0,"","","","SAN NICOLAS"
60,145000,4,3,40,"","FRENTE","","",1,"SI","","BALCON TERRAZA","SAN NICOLAS"
